,Company,Company Description,Date Victimised,No of views,Comment
0,KTUA Landscape Architecture and Planning,"As planners and landscape architects, KTUA is focused on the principles of healthy placemaking – a collaborative process for reshaping the public realm of our neighborhoods, communities and regions. The link between our natural and built environments and the health of individuals, families and communities is proven. Well designed streets, parks, open spaces, public places and buildings facilitate human connectivity and improve people's mental, physical and social health. In our vision and our actions, KTUA collaborates with our community leaders, public agencies, private developers, allied professionals, neighbors and families to develop implementable plans that address social, physical, environmental and economic goals that shape healthy places. By building support for these plans and projects from the ground up, we provide opportunities for civic engagement and transformative ideas
KTUA.com", 17.10.2023, 919,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other"
1,"Comtek Advanced Structures, a Latecoere Company","Comtek designs, manufactures and repairs composite components for business jet and regional aircraft. We supply aircraft OEMs with composite panels and aero-engine OEMs with composite components. Regional aircraft fleets are supported with rapid repair services for structural components. Comtek is a leading global supplier of composite components and repair services to business jet and regional aircraft markets. We design, manufacture and repair structural components that are used on thousands of aircraft every day, across the globe. Comtek provides aircraft manufacturers with innovative supply chain solutions with expertise managing large volumes and high part variability. We currently manufacture floor panels, avionic racks and engine components for service into business jet and regional aircraft markets. Capitalizing on years of experience, a full engineering team and a state-of-the-art facility, Comtek is capable of fabricating virtually any composite or composite/metallic structure. 
comtekadvanced.com", 17.10.2023, 906,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other"
2,ExdionInsurance,"Exdion is the leading Digital Insurance Platform, Solutions & Software in USA & India that helps insurance agencies digitally transform to be future ready. Exdion Insurance is the leading digital and artificial intelligence (AI) strategy partner for forward thinking insurance businesses. We are a solutions-based practice, delivering powerful AI products to national and global insurance brokers who are leaders in their field. As pioneers in generative AI and machine learning for the sector, we draw on our deep insurance industry knowledge to maximize the profitability of our clients' businesses. 
www.exdioninsurance.com", 17.10.2023, 2086,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other"
3,Petersen Johnson,"Petersen Johnson is a leading Arizona personal injury law firm. We represent accident and injury victims throughout the Phoenix metro area. We provide our clients with the best legal representation. As personal injury lawyers we are dedicated to protecting your rights when you have been injured as the result of an accident or negligence.
https://petersenjohnson.com/", 15.10.2023, 3365,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other"
4,Ted Pella Inc.,"Electron microscopy supplies and instruments, light microscopy, atomic force microscopy, laboratory supplies We manufacture instruments and supplies and serve laboratories dedicated to a variety of types of microscopy: Transmission and Scanning Electron Microscopy, Electron Microprobe Analysis, Atomic Force Microscopy, Confocal Laser Microscopy and Light Microscopy. We serve a diverse set of fields including Biology, Biotechnology, Chemistry, Chemical Engineering, Failure Analysis, Forensics, Genetics, Histology, Materials Science, MEMS, Materialography/Metallography, Microelectronics, Nanotechnology, Neurosciences, Pathology, Pharmaceuticals, Physics, Quality Assurance and Semiconductors. We serve colleges and universities, private companies, hospitals and various branches of government, domestic and international.
https://www.tedpella.com/", 10.10.2023, 6548,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other, "
5,Sabian Inc,"Sabian designs, manufactures, and markets cymbals and sound calculators.
sabian.com", 10.10.2023, 6502,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other"
6,Chula Vista Electric (CVE),"Since 1925, family-owned Chula Vista Electric (CVE) has been providing electrical services to Southern California. We started in downtown San Diego’s commercial district, in a small street-side store. As demand for electrical services grew, so did we. Today, we’re in a state-of-the-art-facility in Santee, with nearly 100 employees and a fleet of service trucks. Over the years, CVE has worked in many exciting places,from mines in Chile to the sunny shores of Hawaii — designing and building electric systems for the long haul.
As we move into the future, CVE is embracing renewables and other evolving technologies and will continue to focus on being a company that exceeds industry standards and client expectations.
https://www.c-v-e.com/about-us", 06.10.2023, 19700,"Invoice,Receipts,Accounting documents,Personal data of clients from SQL database,Certificates,Employment contracts,Other,The process of uploading data is underway"
7,C.F. Service and Supply,"C.F. Service & Supply in Liberal, KS, are your fire safety & protection experts servicing fire extinguishers throughout SW Kansas as well as your experienced suppliers of rig supplies & services. We offer on-call, after-hour services, too. 
CFSERVICEANDSUPPLY.COM", 06.10.2023, 9009,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other,https://pixeldrain.com/u/Pxyri7M4,https://pixeldrain.com/u/E3Ak3gab,https://pixeldrain.com/u/CwxhAqRV,https://pixeldrain.com/u/gZvg9M2x,https://pixeldrain.com/u/TunyMXY4,https://pixeldrain.com/u/9bqLNccD,https://pixeldrain.com/u/kUr3nM2p,https://pixeldrain.com/u/oJ2XtQeD,https://pixeldrain.com/u/QuZE98Aa,https://pixeldrain.com/u/5jXfqqU5,https://pixeldrain.com/u/jKfCQn9F,https://pixeldrain.com/u/eWoUKJUM"
8,Notel,"Maintaining the company’s effectiveness at an appropriate level requires strict control of the telecommunications network’s performance.
Facing these needs, Notel offers a wide range of products and services that enable effective analysis, optimization, and management of telecommunications network performance.
We cooperate with Mobile Network Service Provider, Infrastructure Vendors, and Enterprises, supporting their needs in deep dive into analytics, network health check, and process automation.
https://notelit.pl/", 05.10.2023, 9826,"Working documents,Technical Tables,SQL ,Working materials for applications,Tables with big date analyses,https://pixeldrain.com/u/Y1zYCMix,https://pixeldrain.com/u/QkRKNSW3"
9,Muenz-Engineered Sales,"Home from Muenz-Engineered Sales Company, Inc. for all your industrial needs. MESCO is a leading distributor of abrasives, cutting tools, industrial adhesives, PPE equipment and much more with over 200 years of experience. We are proud to offer a wide variety of quality products in addition to our services including, Vendor Managed Inventory Solutions.
https://www.buymesco.com/", 04.10.2023, 10508,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://pixeldrain.com/u/rEGSsgdn,https://pixeldrain.com/u/ZnEfHXfm,https://pixeldrain.com/u/k7w5EKrC"
10,SUD TRADING COMPANY,"STC, WITH MORE THAN 40 YEARS OF EXPERIENCE
We put at your disposal the skills of a motivated and dynamic team, attentive to your needs and performance
STC in 3 words is :
CONCEPTION - REALIZATION - DISTRIBUTION
YOUR SATISFACTION IS AT THE HEART OF OUR CONCERNS
A key player on the import market, our company offers professionals a wide choice of products, in the following areas
FASHION - GIFT - DECORATION - FESTIVE - HUMOROUS
stcpro.fr", 03.10.2023, 11152,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/NiSUPg,https://gofile.io/d/LAvP14"
11,WEBBER RESTAURANT GROUP,"Webber Restaurant Group has owned and operated hospitality businesses in Massachusetts since 2004 and we pride ourselves on our commitment to work/life balance and the large number of employees who have been with us for over 5, 10, and 15 years.  Today, Webber Restaurant Group includes the following businesses: Gibbet Hill Grill (Groton, MA) The Barn at Gibbet Hill (Groton, MA) Gibbet Hill Farm (Groton, MA) Scarlet Oak Tavern (Hingham, MA) The Bancroft (Burlington, MA) The Double Bull (Peabody, MA) Fireside Catering (Burlington, MA) Fireside Catering is the exclusive caterer to the following historic venues: The Estate at Moraine Farm (Beverly, MA) Fruitlands Museum (Harvard, MA) The Crane Estate (Ipswich, MA) The Bradley Estate (Canton,MA) The Stevens Estate (North Andover, MA)
https://www.webberrestaurantgroup.com/", 03.10.2023, 11036,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other,https://pixeldrain.com/u/HQH3qjr9,https://pixeldrain.com/u/y7CTQVFo,https://pixeldrain.com/u/nZS8MSTn,https://pixeldrain.com/u/KPiNFXmq,https://pixeldrain.com/u/CamQcAv8,https://pixeldrain.com/u/GR8qey9P,https://pixeldrain.com/u/T9gmD4tf,https://pixeldrain.com/u/J3AiKETx,https://pixeldrain.com/u/xLriEXro,https://pixeldrain.com/u/U253J2w9,https://pixeldrain.com/u/PXBMs3FQ,https://pixeldrain.com/u/FNRsjBjw,https://pixeldrain.com/u/uDGCEs1K,https://pixeldrain.com/u/8FnUZUQZ,https://pixeldrain.com/u/dXcvF6Y6,https://pixeldrain.com/u/EoBnYtjd,https://pixeldrain.com/u/LzGYqrRf"
12,Praxis Arndt und Langer,"Our goal is to maintain your health or to achieve the best possible for your recovery. In this service we provide the diverse diagnostic and therapeutic possibilities of our practice and the competence of our employees.
In trusting cooperation with you as a partner, we will find individual solutions.
Our range of services covers the entire field of internal medicine, with the focus on general medical care.
As a diabetes practice, we are a competent partner in Darmstadt,
both in the solution of acute problems and in the
Long-term care of your blood sugar disease.
https://www.praxis-arndt-langer.de/", 02.10.2023, 7343,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other,https://gofile.io/d/5kBjYR ,https://gofile.io/d/MgDbPh"
13,Springer Eubank,"A locally owned & operated company serving the Cape Fear Region.
Our professionally trained staff is always ready to help you with your fuel needs.
Springer Eubank Supplies Fuel to Southeastern North Carolina
Located just off the Cape Fear River near the entrance to the state shipyards in Wilmington, Springer Eubank provides fuel delivery to the southeastern NC region throughout New Hanover and Pender Counties, along with deliveries to the Jacksonville area in North Carolina.
springeroil.com", 02.10.2023, 11755,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/Zu6F5v"
14,The Envelope Works Ltd,"The Envelope Works Group was established in 1999 and is now one of the UK’s leading envelope manufacturers and printers.
https://envelopeworks.com/", 30.09.2023, 13022,"Questionnaires,Passports,Personal data,Customer databases,Copies of correspondence with clients,Accounts,Budgets,Contracts,And other,https://pixeldrain.com/u/cePh4YWP"
15,FabricATE Engineering,"Fabricate Engineering and Test Systems is a design, development and production company on turn-key test systems and electro-mechanical components for aerospace, automotive and consumer electronics. The company has established by engineers specialized in hardware/software design and test infrastructure experience. We have many success stories on RF/MW and analog test systems
  https://www.fabric-ate.com/", 30.09.2023, 8157,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other,https://pixeldrain.com/u/2CShwN6P,https://pixeldrain.com/u/2NL9vbrP,https://pixeldrain.com/u/WZ6AQuYh,https://pixeldrain.com/u/A6vCBrs2,https://pixeldrain.com/u/YepinDiV,https://pixeldrain.com/u/WUGjUfUL"
16,Araújo e Policastro Advogados,"Araújo e Policastro Advogados is located in the city of São Paulo, Latin America’s main commercial and industrial hub. Founded in 1962, Araújo e Policastro Advogados has built its reputation as one of Brazil’s most renowned law firms. It has recognized experience in several branches of the law, and its business and international practices standout.
Araújo e Policastro Advogados has extensive experience in corporate and litigation practice areas, over the decades 1970’s, 1980’s and 1990’s, which allowed it to become one of the most renowned international law firms. Over the years, Araujo e Policastro Advogados has expanded in practice areas to include telecommunications, energy, oil and gas, banking, finance, securities, privatizations, intellectual property, environmental and competition law.
https://www.araujopolicastro.com.br", 25.09.2023, 16735,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files,Other,https://pixeldrain.com/u/UqbuwecU,https://pixeldrain.com/u/ya4AGevU"
17,Ford Covesa,"With more than 40 years of experience, at COVESA we make Ford's values our own: we set trends in the implementation of new technologies, environmental protection and safety, providing excellent customer service in both the pre-sales and after-sales phases.
http://www.covesaford.com/", 18.09.2023, 21348,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://pixeldrain.com/u/5NkduFfY"
18,UNIVERSAL REALTY GROUP,"Universal Realty Group is a leader in the development and management of commercial and residential real estate. Our property management expertise and customer service ensures that you'll find one of Halifax's best places to live and work within it. Our portfolio consists of over 2,300 apartments and a million and a half square feet of commercial space. We offer metro's best selection of residential locations and lifestyle options plus premier space for lease including office, warehouse and retail. Downtown Halifax, Bedford or Dartmouth, if you're seeking an apartment for rent or a place to locate your business, we have you covered. Plus Universal Realty group specializes in a wide spectrum of management services including: Property Management; Asset Management; Systems and Communications, and Marketing
http://universalproperties.ca/", 15.09.2023, 22952,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://pixeldrain.com/u/XRE2J3s3,https://pixeldrain.com/u/h5X9hqBu,https://pixeldrain.com/u/ri7qiXpj,https://pixeldrain.com/u/9GXe6RAL,https://pixeldrain.com/u/3PrFCvCG,https://pixeldrain.com/u/De9WaLBU,https://pixeldrain.com/u/DpwmXnaq,https://pixeldrain.com/u/cxgDCYVe,https://pixeldrain.com/u/Npy6YxV6,https://pixeldrain.com/u/hK4B8dMW,https://pixeldrain.com/u/C9SAqs9n"
