,CompanyName,date,description,Data Type,Data Type 2,description 2
0,Institut Technologique FCBA,Thu Oct 12 2023,En 1949 est créé le Centre Technique des Exploitations Scieries et Industries Forestières. Il fusionne en 1952 avec le Centre Technique des Industries du Bois et de l'Ameublement pour donner naissance au Centre Technique du Bois (CTB). Ce dernier prendra le nom de Centre Technique du Bois et de l’Ameublement (CTBA) en 1983. ,Unknown,"Sensitive (general), ",We have a big archive of sensitive data.
0,Mid-America Real Estate Group,Thu Oct 12 2023,"Founded in 1984, Mid-America Real Estate Group is a full-service retail real estate organization in the Midwest providing services from finding retail space, managing a portfolio, developing a shopping center or finding the right buyer in a sales transaction.",Unknown,"Sensitive (general), ","561 Gb of sensitive data. Refuses to pay, wasting time."
0,"Wyndemere Senior Care, LLC",Tue Oct 10 2023,"Senior Living Community in Wheaton, IL
At Wyndemere, you can live life on your terms, free from the responsibilities of homeownership and concerns about future health care needs. Tucked away on 22 beautiful acres minutes from downtown Wheaton, Illinois, our Life Plan Community offers vibrant independent living, along with the assurance of on-site care, including assisted living, skilled nursing, memory care and rehabilitation.
Wyndemere has been owned and managed by Life Care Services®, An LCS® Company, since March 2010. 
As one of the nation’s leading and most progressive forces in the senior living management industry, LCS has over 40 years of experience managing more than 130 communities.",Unknown,"Employee Data, Sensitive (general), ","Wyndemere refused to protect the data of their customers and partners. All sensitive data is available for download.
The leak contains a lot of confidential data, data of employees, customers, partners, etc."
0,First Judicial Circuit - Florida Court,Tue Oct 10 2023,"Data includes:
- Employees personal data (including judges) - CVs, DL, SSN.
- Complete network map including credentials for local and remote services.
- Court documents, court reports, orders, voice records, video records, archives of legal proceedings, current investigations, jail reports, confidential court documents, databases.
- And more...
The general public is already aware of the attack, but no one is engaging in dialogue with us. We have not received any questions at this time. If silence continues, we will publish all the data we have.

https://www.bleepingcomputer.com/news/security/alphv-ransomware-gang-claims-attack-on-florida-circuit-court/","Personal Data, Network Data, Database Data, ",Unknown,"https://mega.nz/folder/ImtFCLSB#uWObtyYT0vAVOBZ6aKRiDg
Proof of leakage.
Full data coming soon, we have a 2TB

https://www.bleepingcomputer.com/news/security/alphv-ransomware-gang-claims-attack-on-florida-circuit-court/

The general public is already aware of the attack, but no one is engaging in dialogue with us. We have not received any questions at this time. If silence continues, we will publish all the data we have."
0,Law Society of South Africa,Mon Oct 09 2023,Attorneys and advocates in South Africa are registered with the Legal Practice Council in terms of the Legal Practice Act 28 of 2014. Since 1998 the Law Society of South Africa (LSSA) has represented the attorneys’ profession.,Unknown,"Database Data, ","220GB of database backups were stolen.


http://ga6pe777wjfk6xuhkepqtfldiqjx253an7dofzmyrlwzgqipqgtwwtyd.onion

http://3s5pzwlqllrzz4xlluholmqgueje7lutlugbdnwa3ehbedrxaq5wjbad.onion"
0,i-Can Advisory Group inc,Mon Oct 09 2023,Immigration Advisory Services from Experienced Lawyers,Unknown,Unknown,"Another case of irresponsible attitude towards stored information

Docs in attachment:

http://tuw6in37vku6kg3mvnwaxsldhruujpihibpxbq5ne42phqgv4ekuirqd.onion"
0,Arga Medicali,Mon Oct 09 2023,Wholesale trade of medical and orthopedic items,Unknown,"Database Data, ","Databases in attachment

http://67ni6yaafbculxsbupuzageg2eselgc7bc6gkvc43tt2zhlh7jgmkoad.onion"
0,BrData Tecnologia,Mon Oct 09 2023,"BRdata Tecnologia specializes in developing integrated business management systems, giving your company fast and accurate information for decision-making.",Unknown,"Database Data, ","Databases in attachment

http://zu4jfbwu4on24mvtxm3gojoaw6ltk4wlebtfvly4haykp4tusdcrv5yd.onion"
0,Carlo Ditta,Sat Oct 07 2023,"Carlo Ditta, Inc. is a family-owned ready mix concrete company with 4 plants in Louisiana to serve our customers: West Bank, Kenner/St. Rose, N.O. East Plant and N.O. C.B.D. Plant using the newest technology, equipment and processes. Since starting in 1934",Unknown,"Personal Data, Sensitive (general), ",Over 100GB of personal and sensitive data that will be shared with your competitors this week.
0,Wright Moore DeHart Dupuis & Hutchinson,Fri Oct 06 2023,"For years, the accounting firm of Wright, Moore, DeHart, Dupuis & Hutchinson (WMDDH) has been providing quality, personalized financial guidance to individuals and businesses. WMDDH's expertise ranges from basic tax management and accounting services to more in-depth services such as audits, financial statements, litigation support, management advisory and consulting services. WMDDH has an extensive background dealing with the oil and gas industry, and we service clients ranging from small companies to multi-national operations.
WMDDH takes the approach that we are your partner in business. By combining our expertise, experience and the team mentality of our staff, we assure that every client receives the close analysis and attention they deserve. Our dedication to high standards, hiring of seasoned professionals, and work ethic has provided that level of service for our clients across the country. We take pride in building long-term relationships with our clients and are committed to providing the highest level of personalized service in the industry.","Personal Data, ","Personal Data, Network Data, ","766 GB data has been downloaded from company file servers, including:

- Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Loans data, Insurance, Agreements and much more);
- Clients documentation (DL's, ID's, SSN's, Financial data, Credit cards information, Loans data, Agreements and much more);
- Complete network map including credentials for local and remote services;
- And more…"
