0,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
1,8BASE,KTUA Landscape Architecture and Planning,"As planners and landscape architects, KTUA is focused on the principles of healthy placemaking â€“ a collaborative process for reshaping the public realm of our neighborhoods, communities and regions. The link between our natural and built environments and the health of individuals, families and communities is proven. Well designed streets, parks, open spaces, public places and buildings facilitate human connectivity and improve people's mental, physical and social health. In our vision and our actions, KTUA collaborates with our community leaders, public agencies, private developers, allied professionals, neighbors and families to develop implementable plans that address social, physical, environmental and economic goals that shape healthy places. By building support for these plans and projects from the ground up, we provide opportunities for civic engagement and transformative ideas
KTUA.com",17-10-23,919,http://www.ktua.com,Architecture and Planning,"San Diego, CA",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
2,8BASE,"Comtek Advanced Structures, a Latecoere Company","Comtek designs, manufactures and repairs composite components for business jet and regional aircraft. We supply aircraft OEMs with composite panels and aero-engine OEMs with composite components. Regional aircraft fleets are supported with rapid repair services for structural components. Comtek is a leading global supplier of composite components and repair services to business jet and regional aircraft markets. We design, manufacture and repair structural components that are used on thousands of aircraft every day, across the globe. Comtek provides aircraft manufacturers with innovative supply chain solutions with expertise managing large volumes and high part variability. We currently manufacture floor panels, avionic racks and engine components for service into business jet and regional aircraft markets. Capitalizing on years of experience, a full engineering team and a state-of-the-art facility, Comtek is capable of fabricating virtually any composite or composite/metallic structure. 
comtekadvanced.com",17-10-23,906,http://www.comtekadvanced.com,Aviation and Aerospace Component Manufacturing,"Burlington, Ontario",Canada,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
3,8BASE,ExdionInsurance,"Exdion is the leading Digital Insurance Platform, Solutions & Software in USA & India that helps insurance agencies digitally transform to be future ready. Exdion Insurance is the leading digital and artificial intelligence (AI) strategy partner for forward thinking insurance businesses. We are a solutions-based practice, delivering powerful AI products to national and global insurance brokers who are leaders in their field. As pioneers in generative AI and machine learning for the sector, we draw on our deep insurance industry knowledge to maximize the profitability of our clients' businesses. 
www.exdioninsurance.com",17-10-23,2086,https://www.exdioninsurance.com/,Business Consulting and Services,"Plano, Texas",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
4,8BASE,Petersen Johnson,"Petersen Johnson is a leading Arizona personal injury law firm. We represent accident and injury victims throughout the Phoenix metro area. We provide our clients with the best legal representation. As personal injury lawyers we are dedicated to protecting your rights when you have been injured as the result of an accident or negligence.
https://petersenjohnson.com/",15-10-23,3365,http://www.petersonjohnson.com,Law Practice,"Phoenix, Arizona",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
5,8BASE,Ted Pella Inc.,"Electron microscopy supplies and instruments, light microscopy, atomic force microscopy, laboratory supplies We manufacture instruments and supplies and serve laboratories dedicated to a variety of types of microscopy: Transmission and Scanning Electron Microscopy, Electron Microprobe Analysis, Atomic Force Microscopy, Confocal Laser Microscopy and Light Microscopy. We serve a diverse set of fields including Biology, Biotechnology, Chemistry, Chemical Engineering, Failure Analysis, Forensics, Genetics, Histology, Materials Science, MEMS, Materialography/Metallography, Microelectronics, Nanotechnology, Neurosciences, Pathology, Pharmaceuticals, Physics, Quality Assurance and Semiconductors. We serve colleges and universities, private companies, hospitals and various branches of government, domestic and international.
https://www.tedpella.com/",10-10-23,6548,http://www.tedpella.com,Nanotechnology Research,"Redding, CA",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
6,8BASE,Sabian Inc,"Sabian designs, manufactures, and markets cymbals and sound calculators.
sabian.com",10-10-23,6502,http://www.sabian.com/en/home,Entertainment Providers,"Marshfield, Massachusetts",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
7,8BASE,Chula Vista Electric (CVE),"Since 1925, family-owned Chula Vista Electric (CVE) has been providing electrical services to Southern California. We started in downtown San Diegoâ€™s commercial district, in a small street-side store. As demand for electrical services grew, so did we. Today, weâ€™re in a state-of-the-art-facility in Santee, with nearly 100 employees and a fleet of service trucks. Over the years, CVE has worked in many exciting places,from mines in Chile to the sunny shores of Hawaii â€” designing and building electric systems for the long haul.
As we move into the future, CVE is embracing renewables and other evolving technologies and will continue to focus on being a company that exceeds industry standards and client expectations.
https://www.c-v-e.com/about-us",06-10-23,19700,http://www.c-v-e.com,Construction,"Santee, California",United States,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,
8,8BASE,C.F. Service and Supply,"C.F. Service & Supply in Liberal, KS, are your fire safety & protection experts servicing fire extinguishers throughout SW Kansas as well as your experienced suppliers of rig supplies & services. We offer on-call, after-hour services, too. 
CFSERVICEANDSUPPLY.COM",06-10-23,9009,https://www.cfserviceandsupply.com/,Oil and Gas,C F Service & Supply,United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
9,8BASE,Notel,"Maintaining the companyâ€™s effectiveness at an appropriate level requires strict control of the telecommunications networkâ€™s performance.
Facing these needs, Notel offers a wide range of products and services that enable effective analysis, optimization, and management of telecommunications network performance.
We cooperate with Mobile Network Service Provider, Infrastructure Vendors, and Enterprises, supporting their needs in deep dive into analytics, network health check, and process automation.
https://notelit.pl/",05-10-23,9826,https://www.notelit.pl/home-page/,Telecommunications,"Warsaw, Mazowieckie",Polska,0,0,0,0,1,0,0,0,0,0,1,0,1,,,,
10,8BASE,Muenz-Engineered Sales,"Home from Muenz-Engineered Sales Company, Inc. for all your industrial needs. MESCO is a leading distributor of abrasives, cutting tools, industrial adhesives, PPE equipment and much more with over 200 years of experience. We are proud to offer a wide variety of quality products in addition to our services including, Vendor Managed Inventory Solutions.
https://www.buymesco.com/",04-10-23,10508,https://buymesco.com/,Industrial Machinery Manufacturing,"Summit, New Jersey",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
