,Company_Name,Date_of_leak,Company_Address,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication,Ransomware_Group,0,Company_Description,Number_of_Views,Company_URL,Customer and Client Data 
0,AllCare Pharmacy,2/10/2023,"El Monte, CA",United States,Retail,1.0,0,0,0,0,1.0,0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
1,Dee Sign,1/10/2023,"West Chester, OH",United States,Real Estate,0.0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
2,"Felling Trailers, Inc.",13/7/2023,"Sauk Centre, MN",United States,Truck Transportation,0.0,1,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,Lorenz,,,,,
3,Moore Engineering,31/3/2023,"West Fargo, ND",United States,Civil Engineering,0.0,1,0,0,1,0.0,1,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
4,Intrasect Technologies,29/3/2023,"Wabash, Indiana",United States,IT Services and IT Consulting,0.0,1,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
5,NGS Super,25/3/2023,"Sydney, NSW",Australia,Financial Services,1.0,1,0,1,0,0.0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,Lorenz,,,,,
6,"Joy Cone Co, Joy Baking group, BoDeans Baking, Altesa",11/3/2023,"Hermitage, PA",United States,Manufacturing,0.0,0,0,1,0,0.0,1,0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,Lorenz,,,,,
7,"Tarolli, Sundheim, Covell & Tummino LLP",14/3/2023,"Cleveland, Ohio",United States,Legal Services,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
8,Manning Building Supplies,13/3/2023,"Ocala, Florida",United States,Construction,0.0,1,0,0,1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
9,Hopsteiner,10/2/2023,"Yakima, WA",United States,Food and Beverage Services,0.0,0,0,1,1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
10,AmerisourceBergen/Censora - MWI Animal Health,22/1/2023,"Boise, ID",United States,Veterinary Services,0.0,0,0,1,0,1.0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,Lorenz,,,,,
0,KTUA Landscape Architecture and Planning,17-10-23,"San Diego, CA",United States,Architecture and Planning,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,1.0,"As planners and landscape architects, KTUA is focused on the principles of healthy placemaking â€“ a collaborative process for reshaping the public realm of our neighborhoods, communities and regions. The link between our natural and built environments and the health of individuals, families and communities is proven. Well designed streets, parks, open spaces, public places and buildings facilitate human connectivity and improve people's mental, physical and social health. In our vision and our actions, KTUA collaborates with our community leaders, public agencies, private developers, allied professionals, neighbors and families to develop implementable plans that address social, physical, environmental and economic goals that shape healthy places. By building support for these plans and projects from the ground up, we provide opportunities for civic engagement and transformative ideas
KTUA.com",919.0,http://www.ktua.com,0.0
1,"Comtek Advanced Structures, a Latecoere Company",17-10-23,"Burlington, Ontario",Canada,Aviation and Aerospace Component Manufacturing,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,2.0,"Comtek designs, manufactures and repairs composite components for business jet and regional aircraft. We supply aircraft OEMs with composite panels and aero-engine OEMs with composite components. Regional aircraft fleets are supported with rapid repair services for structural components. Comtek is a leading global supplier of composite components and repair services to business jet and regional aircraft markets. We design, manufacture and repair structural components that are used on thousands of aircraft every day, across the globe. Comtek provides aircraft manufacturers with innovative supply chain solutions with expertise managing large volumes and high part variability. We currently manufacture floor panels, avionic racks and engine components for service into business jet and regional aircraft markets. Capitalizing on years of experience, a full engineering team and a state-of-the-art facility, Comtek is capable of fabricating virtually any composite or composite/metallic structure. 
comtekadvanced.com",906.0,http://www.comtekadvanced.com,0.0
2,ExdionInsurance,17-10-23,"Plano, Texas",United States,Business Consulting and Services,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,3.0,"Exdion is the leading Digital Insurance Platform, Solutions & Software in USA & India that helps insurance agencies digitally transform to be future ready. Exdion Insurance is the leading digital and artificial intelligence (AI) strategy partner for forward thinking insurance businesses. We are a solutions-based practice, delivering powerful AI products to national and global insurance brokers who are leaders in their field. As pioneers in generative AI and machine learning for the sector, we draw on our deep insurance industry knowledge to maximize the profitability of our clients' businesses. 
www.exdioninsurance.com",2086.0,https://www.exdioninsurance.com/,0.0
3,Petersen Johnson,15-10-23,"Phoenix, Arizona",United States,Law Practice,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,4.0,"Petersen Johnson is a leading Arizona personal injury law firm. We represent accident and injury victims throughout the Phoenix metro area. We provide our clients with the best legal representation. As personal injury lawyers we are dedicated to protecting your rights when you have been injured as the result of an accident or negligence.
https://petersenjohnson.com/",3365.0,http://www.petersonjohnson.com,0.0
4,Ted Pella Inc.,10-10-23,"Redding, CA",United States,Nanotechnology Research,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,5.0,"Electron microscopy supplies and instruments, light microscopy, atomic force microscopy, laboratory supplies We manufacture instruments and supplies and serve laboratories dedicated to a variety of types of microscopy: Transmission and Scanning Electron Microscopy, Electron Microprobe Analysis, Atomic Force Microscopy, Confocal Laser Microscopy and Light Microscopy. We serve a diverse set of fields including Biology, Biotechnology, Chemistry, Chemical Engineering, Failure Analysis, Forensics, Genetics, Histology, Materials Science, MEMS, Materialography/Metallography, Microelectronics, Nanotechnology, Neurosciences, Pathology, Pharmaceuticals, Physics, Quality Assurance and Semiconductors. We serve colleges and universities, private companies, hospitals and various branches of government, domestic and international.
https://www.tedpella.com/",6548.0,http://www.tedpella.com,0.0
5,Sabian Inc,10-10-23,"Marshfield, Massachusetts",United States,Entertainment Providers,1.0,1,0,1,0,,0,0,1.0,0,0,0,0,,,,,8BASE,6.0,"Sabian designs, manufactures, and markets cymbals and sound calculators.
sabian.com",6502.0,http://www.sabian.com/en/home,0.0
