Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_Country,Company_Address,Industry_Type,"Company_Description (Important ones, interesting ones)","Notes, and Interesting things",Data_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
Hughes Gill Cochrane Tinetti,14/10/2023,10/10/2023,www.hughes-gill.com,United States,"Walnut Creek, CA",Law Practice,,,"Private and personal confidential data, clients documents, contracts, HR, tax, finance information and etc",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Saltire Energy,14/10/2023,10/10/2023,www.saltire-energy.com,United Kingdom," Aberdeen, Aberdeenshire",Oil and Gas,,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payrolls, tax, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Centek industries,13/10/2023,9/10/2023,www.centekindustries.com,United States," Thomasville, Georgia",Consumer Goods,,,"Private and personal confidential data, clients documents, contracts, IDs, passports, payroll, tax, finance information and etc.",1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0
NachtExpress Austria GmbH,13/10/2023,9/10/2023,www.nox-nachtexpress.at,Austria,"Schwechat, Niederösterreich","Transportation, Logistics, Supply Chain and Storage",,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payroll, tax, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
WCM Europe,13/10/2023,9/10/2023,www.wcm.com,United Kingdom," Basildon, Essex",Motor Vehicle Manufacturing,,,"Private and personal confidential data, clients documents, contracts, HR, IDs, payroll, tax, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Starr Finley,13/10/2023,9/10/2023,www.starrfinley.com,United States," San Francisco, CA",Law Practice,,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payrolls , finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Metro Transit,12/10/2023,9/10/2023,www.metrostlouis.org,United States,"St. Louis, MO","Transportation, Logistics, Supply Chain and Storage",,,"Private and personal confidential data, clients documents, contracts, SSN, IDs, passports, payroll, tax, finance information and etc.",1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0
Stavanger Municipality,8/10/2023,4/10/2023,stavanger.kommune.no,Norway,Stavanger,Government Agency,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
CHARMANT Group,8/10/2023,4/10/2023,www.charmant.com,United States," Sabae City, Fukui Pref.","Retail, Apparel and Fashion",,,"Private and personal confidential data, clients and employee documents, IDs, invoices, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Cinepolis USA,8/10/2023,4/10/2023,www.cinepolisusa.com,United States," Dallas, Texas",Entertainment Providers,,,"Private and personal confidential data, clients and employee documents, IDs, clients db, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Filtration Control,8/10/2023,4/10/2023,www.filtrationcontrol.com,United Kingdom,BRACKMILLS,Motor Vehicle Manufacturing,,,"Private and personal confidential data, clients and employee documents, IDs, HR, payroll, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Security Instrument,8/10/2023,4/10/2023,www.securityinstrument.com,United States," Wilmington, Delaware",Security and Investigations,,,"Private and personal confidential data, clients and employee documents, IDs, payroll, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Roof Management,8/10/2023,4/10/2023,www.roof-management.com,United States,"  Marysville, Ohio",Real Estate,,,"Private and personal confidential data, clients and employee documents, IDs, budget, passports, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Wexas,2/10/2023,28/9/2023,www.wexas.com,United Kingdom,"London, United Kingdom",Travel,,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Plumbase,2/10/2023,28/9/2023,www.plumbase.co.uk,United Kingdom," Milton Keynes, Buckinghamshire ",Wholesale Building Materials,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Kessler Collins,2/10/2023,28/9/2023,www.kesslercollins.com,United States,"Dallas, Texas",Law Practice,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Terralogic,2/10/2023,28/9/2023,www.terralogic.com,United States," San Jose, CA",Information Technology & Services,,Targetted: City of San diego,"Private and personal confidential data, clients and employee documents, IDs, passports, tax, HR, finance information , also data from one of the major clients, the city of San Diego",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Van Eck Transport,2/10/2023,28/9/2023,www.vanecktransport.nl,Netherlands,Veenendaal,Truck Transportation,,,"Private and personal confidential data, clients and employee documents, IDs, passports, tax, HR, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
BAMO,2/10/2023,28/9/2023,www.bamo.com,United States," San Francisco, CA",Architecture and Planning,,,"Private and personal confidential data, clients and employee documents, IDs, passports, projects, tax, HR, finance information and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Amanzi Marble & Granite,2/10/2023,28/9/2023,www.amanzigranite.com,United States," Kernersville, North Carolina",Construction,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Webb Landscape,5/10/2023,28/9/2023,www.webbland.com,United States,"  Bellevue, Idaho",Landscaping Services,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Robuck Homes,2/10/2023,28/9/2023,www.robuckhomes.com,United States,"North Carolina, United States",Construction,,Generationality owned business,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, conracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Jacobson,2/10/2023,28/9/2023,www.jacobsoncompany.com,United States,"New Jersey, United States",Construction,,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
PASCHAL - Werk G Maier,22/9/2023,18/9/2023,www.paschal.de,Deutschland," Steinach, Deutschland",Construction,,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
TSC,22/9/2023,18/9/2023,www.t-s-c.com,United States,"Houston, Texas",Oil and Gas,,"Why did they steal projects? Were they confidential?
They are merely a drilling contractor","Private and personal confidential data, clients and employee documents, contracts, IDs, projects, finance information and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Rea Magnet Wire,26/9/2023,18/9/2023,www.reawire.com,United States," Fort Wayne, IN",Appliances comma Electrical comma and Electronics Manufacturing,,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
First Line,22/9/2023,18/9/2023,www.firstline.co.uk,United Kingdom,"Oxfordshire, United Kingdom",Automotive Components,,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Vucke,22/9/2023,18/9/2023,www.vucke.sk,Slovakia,"Kosice, Slovak Republic",Tourism,,"Country is Slovakia
Thats an interesting country","Private and personal confidential data, employee documents, IDs, passports, HR, finance information and etc.",1,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0
Carpet One,18/9/2023,13/9/2023,www.stradwickscarpetonenorthbay.com,Canada,"North Bay, Ontario",Retail,,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Dpc & S,18/9/2023,13/9/2023,www.dpconsulting.com,United States,"Arizona, United States",Non-profit Organization Management,,They stole projects from a Non Profit Organization,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, projects, finance information and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Majestic Spice,8/9/2023,5/9/2023,www.majesticspice.com,United States," Los Angeles, California",Food Production,,,"Private and personal confidential data, clients and employee documents, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Bordelon Marine,8/9/2023,5/9/2023,www.bordelonmarine.com,United States," Houma, Louisiana",Maritime Transportation,,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Master Interiors,8/9/2023,5/9/2023,www.masterinteriors.com,United States,"Delaware, United States",Interior Design,,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Markentrainer Werbeagentur,9/9/2023,5/9/2023,www.micro-automation.de,Germany,"St. Leon-Rot, 68789, DE",Automation Machinery Manufacturing,,Technical documentation were stolen,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, a lot of technical documentation, finance information and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Kikkerland Design,9/9/2023,5/9/2023,www.kikkerland.com,United States," New York, NY",Design Services,,,"Private and personal confidential data, clients and employee documents, IDs, taxes, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Firmdale Hotels,5/9/2023,1/9/2023,www.firmdalehotels.com,United Kingdom,London,Hospitality,,What are client scans?,"Private and personal confidential data, clients and employee documents, contracts, IDs, passports, clients scans, HR, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
"Alfagomma, Argus Fluidhandling Ltd",26/8/2023,22/8/2023,www.alfagomma.com www.hiflex-europe.com,United States,"Vimercate, Italy",Industrial Machinery Manufacturing,,technical documentation,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, finance information a lot of technical documentation and etc. For now partially published compressed 10gb. If there no reaction full dump will be uploaded.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Oneonline,24/8/2023,18/8/2023,www.oneonline.com,United States,"Utah, United States",Private Equity,,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
