,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
0,sirva.com,For media: contact us please. We want to provide you a link for investigating the data we have. Be ready to proof that you're working for some popular media. For others: we will provide you a full dumps a little bit later. We have over 1.5TB of do...,10/14/2023 14:29,"02 OCT, 2023 22:59 UTC",6497,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/RbVJA9aK70XvgWYu651b4b2a183ec
1,cdwg.com,"data part #2 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busin...",10/14/2023 14:29,"11 OCT, 2023 18:40 UTC",3233,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/8PRrYsjGQLIHjp5u6526ec1587274
2,cdwg.com,"data part #1 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busi...",10/14/2023 14:29,"11 OCT, 2023 18:38 UTC",3030,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/bEPilXlXUFyBrRwN6526eb74b293c
3,foremostgroups.com,"Revenue zoominfo 500kk+ Big holding We have all legal data, budgets, forecasts, bank, finance data, salaries, insurances, passports, confidential agreements with customers, audit private info, all human resources data, all consolidation reports...",10/14/2023 14:29,"09 OCT, 2023 21:05 UTC",3333,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/PQIrggtu9XcMkvKz65246b0f230d3
4,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded",10/14/2023 14:29,"28 SEP, 2023 20:24 UTC",4133,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/pJt2ilA0kzfg3nIM6515e0c4e8207
5,starplast.ft,"Starplast est située à Ester Technopole à Limoges (87) depuis Mars 2009 dans un bâtiment contemporain de 8000 m². En juin 2020 Starplast rejoint Vitalo Group. Site web : https://www.vitalo.net/ Depuis sa création en 1965, Starplast, reconnue po...",10/14/2023 14:29,"01 OCT, 2023 21:46 UTC",3993,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/aQ965JJyVTOCFkO16519e8a256bb8
6,atlantatech.edu,"Atlanta Technical College is a public technical college in Atlanta, Georgia. It is part of the Technical College System of Georgia and provides education services for Fulton and Clayton counties.",10/14/2023 14:29,"01 OCT, 2023 21:42 UTC",4004,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zwi3XWuSI7P03Pdr6519e7b6eb6f5
7,cfsigroup.ca,"Better yet, see us in person!",10/14/2023 14:29,"11 SEP, 2023 11:04 UTC",20006,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/BiucT5vh19VpZs0a64fef42b33dbd
8,aquinas.qld.edu.au,Aquinas College Ashmore,10/14/2023 14:24,"01 SEP, 2023 08:36 UTC",12167,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/rTSg7aUW0Qq9E3Lv64f1a27a7dd69
9,picosoft.biz,"PicoSoft est une société de services et dingénierie informatique, qui offre une large gamme de solutions innovantes répondant aux besoins de tout type dentreprises en matire de portails dentreprise, de gestion électronique de documents et doutils dai...",10/14/2023 14:24,"06 OCT, 2023 07:31 UTC",6533,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/7NRa08Bh8fU5jjVm651fb793bdf77
10,bm.co.th,Bangsaen Mahanakorn Company Limited and affiliated companies of Bangsaen Mahanakorn,10/14/2023 14:26,"06 OCT, 2023 07:28 UTC",6333,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/bRKy3lWqo0ASYx5J651fb6f5083f9
11,eemotors.com,"Economic Electric Motors positions itself as one of the leading providers of electrical and HVAC products to customers such as Department of Defense, Department of Interior, Department of Justice, Number of Branches of State Governments, Universities...",10/14/2023 14:24,"06 OCT, 2023 07:26 UTC",5617,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/p6uhKheSqSuPF9My651fb660d0fc6
12,kendrion.com,KENDRION - innovative solutions for automotive and industry Products Markets Career We focus on intelligent actuator technology to help drive the global transition towards electrification and other forms of clean energy.,10/14/2023 14:28,"29 AUG, 2023 01:28 UTC",17147,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/80S2VzfIGbswkp8u64ed498c4f239
13,ckgroup.com.tw,Chien Kuo Construction,10/14/2023 14:24,"01 OCT, 2023 21:56 UTC",6618,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/r3SHTpNJkURjs5Ef6519eb1486432
14,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded",10/14/2023 14:24,"28 SEP, 2023 20:24 UTC",8340,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/gmF7ZgV21xDbobLu6515e0dd275f6
15,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, accounting, finance, bank, insurances and a lot of another private data",10/14/2023 14:24,"28 SEP, 2023 20:15 UTC",7972,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/9nZmTwQBDVjC9p8e6515de98ed6cd
16,rexgroup.co.uk,"Rex Group Services Ltd is a company that operates in the Construction industry. It employs 11-20 people and has $5M-$10M of revenue. The company is headquartered in Chapletown, South Yorkshire, United Kingdom",10/14/2023 14:24,"28 SEP, 2023 19:53 UTC",7673,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qDhOJXP3XiaHepiW6515d9a96164b
17,ezpaybuildings.net,"EZ Pay Buildings provides programs enabling consumers the ability to acquire ownership of Storage Barns, Steel Buildings, Gazebos, and more. Our dedicated sales team work towards growing the business of our partners. Our customer service representati...",10/14/2023 14:25,"28 SEP, 2023 19:48 UTC",7147,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/WFf3muOnKW9PX4tX6515d8708937b
18,palaciodosleiloes.com.br,"Considerada uma das maiores empresas de leiles do país, o Palcio dos Leiles norteou o seu sucesso baseado em competência, ética e profissionalismo.",10/14/2023 14:25,"22 SEP, 2023 21:22 UTC",6729,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XRJoauG1qh2GGALr650e056a007e6
19,scmh.org.tw,"Show Chwan Memorial Hospital is a medical center that provides orthopedics, neurology, obstetrics, and gynecology treatments TAINAN MUNICIPAL HOSPITAL",10/14/2023 14:25,"26 JUL, 2023 21:12 UTC",26879,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/MkXecG7KZ5JZ9Y8R64c18c3773c11
20,pelmorex.com,"REVENUE: 200KK USD Founded in 1989, Pelmorex is a private, family-owned, international weather information and data management company. Pelmorex is located in Canada. Read More. View Company Info for Free. Who is Pelmorex. Headquarters. 2655 Brist...",10/14/2023 14:25,"22 SEP, 2023 14:45 UTC",10862,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/hyyFJk27ModCW5nl650da88fcec09
21,payrollselectservices.com,"We downloaded all the confidential data of their company, clients, employees, partners. Confidential data of every company they serve. This includes 180 clients, personal account logins and passwords, taxes, employees, SSN, bank details, etc. Info...",10/14/2023 14:25,"20 SEP, 2023 09:37 UTC",16168,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Dn2U7ANvGZCIPilC650abd4979423
