,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
0,sirva.com,For media: contact us please. We want to provide you a link for investigating the data we have. Be ready to proof that you're working for some popular media. For others: we will provide you a full dumps a little bit later. We have over 1.5TB of do...,"02 OCT, 2023 22:59 UTC",6497,Published,United States,Real Estate,,,,,,,,,,,,,,,,,
1,cdwg.com,"data part #2 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busin...","11 OCT, 2023 18:40 UTC",3233,Published,,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
2,cdwg.com,"data part #1 All the Nasdaq-listed corporation was able to offer was $1,100,000 dollars of the requested $80,000,000 dollars About CDW. CDW Corporation (Nasdaq: CDW) is a leading multi-brand provider of information technology solutions to busi...","11 OCT, 2023 18:38 UTC",3030,Published,,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
3,foremostgroups.com,"Revenue zoominfo 500kk+ Big holding We have all legal data, budgets, forecasts, bank, finance data, salaries, insurances, passports, confidential agreements with customers, audit private info, all human resources data, all consolidation reports...","09 OCT, 2023 21:05 UTC",3333,Published,United States,Wholesale,,,,,,,,,,,,,,,,,
4,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded","28 SEP, 2023 20:24 UTC",4133,Published,United Kingdom,Food and Beverage Services,,,,,,,,,,,,,,,,,
5,starplast.ft,"Starplast est située à Ester Technopole à Limoges (87) depuis Mars 2009 dans un bâtiment contemporain de 8000 m². En juin 2020 Starplast rejoint Vitalo Group. Site web : https://www.vitalo.net/ Depuis sa création en 1965, Starplast, reconnue po...","01 OCT, 2023 21:46 UTC",3993,Published,,,,,,,,,,,,,,,,,,,
6,atlantatech.edu,"Atlanta Technical College is a public technical college in Atlanta, Georgia. It is part of the Technical College System of Georgia and provides education services for Fulton and Clayton counties.","01 OCT, 2023 21:42 UTC",4004,Published,,,,,,,,,,,,,,,,,,,
7,cfsigroup.ca,"Better yet, see us in person!","11 SEP, 2023 11:04 UTC",20006,Published,Canada,Construction,,,,,,,,,,,,,,,,,
8,aquinas.qld.edu.au,Aquinas College Ashmore,"01 SEP, 2023 08:36 UTC",12167,Published,,,,,,,,,,,,,,,,,,,
9,picosoft.biz,"PicoSoft est une société de services et dingénierie informatique, qui offre une large gamme de solutions innovantes répondant aux besoins de tout type dentreprises en matire de portails dentreprise, de gestion électronique de documents et doutils dai...","06 OCT, 2023 07:31 UTC",6533,Published,,,,,,,,,,,,,,,,,,,
10,bm.co.th,Bangsaen Mahanakorn Company Limited and affiliated companies of Bangsaen Mahanakorn,"06 OCT, 2023 07:28 UTC",6333,Published,Singapore,Machinery Manufacturing,,,,,,,,,,,,,,,,,
11,eemotors.com,"Economic Electric Motors positions itself as one of the leading providers of electrical and HVAC products to customers such as Department of Defense, Department of Interior, Department of Justice, Number of Branches of State Governments, Universities...","06 OCT, 2023 07:26 UTC",5617,Published,United States,Wholesale,,,,,,,,,,,,,,,,,
12,kendrion.com,KENDRION - innovative solutions for automotive and industry Products Markets Career We focus on intelligent actuator technology to help drive the global transition towards electrification and other forms of clean energy.,"29 AUG, 2023 01:28 UTC",17147,Published,,,,,,,,,,,,,,,,,,,
13,ckgroup.com.tw,Chien Kuo Construction,"01 OCT, 2023 21:56 UTC",6618,Published,United Kingdom,Staffing and Recruiting,,,,,,,,,,,,,,,,,
14,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, banks, accounting, juridic, customers and etc private data was downloaded","28 SEP, 2023 20:24 UTC",8340,Published,,,,,,,,,,,,,,,,,,,
15,fdf.org.uk,"The Food and Drink Federation (FDF) is a membership organisation that represents and advises UK food and drink manufacturers. Passports, accounting, finance, bank, insurances and a lot of another private data","28 SEP, 2023 20:15 UTC",7972,Published,United Kingdom,Food and Beverage Services,,,,,,,,,,,,,,,,,
16,rexgroup.co.uk,"Rex Group Services Ltd is a company that operates in the Construction industry. It employs 11-20 people and has $5M-$10M of revenue. The company is headquartered in Chapletown, South Yorkshire, United Kingdom","28 SEP, 2023 19:53 UTC",7673,Published,,,,,,,,,,,,,,,,,,,
17,ezpaybuildings.net,"EZ Pay Buildings provides programs enabling consumers the ability to acquire ownership of Storage Barns, Steel Buildings, Gazebos, and more. Our dedicated sales team work towards growing the business of our partners. Our customer service representati...","28 SEP, 2023 19:48 UTC",7147,Published,United States,Financial Services,,,,,,,,,,,,,,,,,
18,palaciodosleiloes.com.br,"Considerada uma das maiores empresas de leiles do país, o Palcio dos Leiles norteou o seu sucesso baseado em competência, ética e profissionalismo.","22 SEP, 2023 21:22 UTC",6729,Published,Brasil,Administração de serviços,,,,,,,,,,,,,,,,,
19,scmh.org.tw,"Show Chwan Memorial Hospital is a medical center that provides orthopedics, neurology, obstetrics, and gynecology treatments TAINAN MUNICIPAL HOSPITAL","26 JUL, 2023 21:12 UTC",26879,Published,United States,Machinery Manufacturing,,,,,,,,,,,,,,,,,
20,pelmorex.com,"REVENUE: 200KK USD Founded in 1989, Pelmorex is a private, family-owned, international weather information and data management company. Pelmorex is located in Canada. Read More. View Company Info for Free. Who is Pelmorex. Headquarters. 2655 Brist...","22 SEP, 2023 14:45 UTC",10862,Published,Canada,Information Services,,,,,,,,,,,,,,,,,
21,payrollselectservices.com,"We downloaded all the confidential data of their company, clients, employees, partners. Confidential data of every company they serve. This includes 180 clients, personal account logins and passwords, taxes, employees, SSN, bank details, etc. Info...","20 SEP, 2023 09:37 UTC",16168,Published,,,,,,,,,,,,,,,,,,,
22,fersan.com.tr,"you are pathetic liars, we stole your data, no need to deceive your customers. and your 7500$ that you offered us can be spent on whores","17 SEP, 2023 21:46 UTC",12858,Published,,,,,,,,,,,,,,,,,,,
23,crosscity.com.au,CROSSCITY MOTORWAY PTY LTD is a private company that has been in the industry for 22 years. The company currently specializes in the Transportation/Trucking/Railroad area.,"06 JUN, 2023 10:33 UTC",27023,Published,United States,Religious Institutions,,,,,,,,,,,,,,,,,
24,floraalpina.ch,"Seminarhotel FloraAlpina, nestled in Vitznau among beautifully designed parkland, the brainchild of landscape gardener Gustav Ammann.","14 MAY, 2023 07:45 UTC",27531,Published,,,,,,,,,,,,,,,,,,,
25,osg.co.jp,"In 1968, OSG Corporation established its very first overseas subsidiary in the United States. Since then, we have built a production, sales and technical support network spanning 33 countries. All of our facilities are optimally located to serve our...","14 APR, 2023 19:57 UTC",34260,Published,United States,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
26,lhh.com.my,"We distribute solely for Philip Morris (Malaysia) Sdn Bhd across Kuala Lumpur, Cheras, Klang, Kuantan and Melaka. Our world-class tobacco brands include Marlboro, Sempoerna and Chesterfield.","07 JUN, 2023 16:18 UTC",30589,Published,United States,Human Resources Services,,,,,,,,,,,,,,,,,
27,ewwanfried.de,"E-Werk Wanfried is a local power supply company with the core areas of grid, sales, power generation and energy services. The company is owned by the von Scharfenberg family in the 5th generation.","07 JUN, 2023 12:26 UTC",29613,Published,Deutschland,Renewables & Environment,,,,,,,,,,,,,,,,,
28,arcc.org,"The mission of ARCC is to provide services, deliver training, and promote innovation to support our regions school districts.","07 JUN, 2023 09:51 UTC",27579,Published,Singapore,Executive Offices,,,,,,,,,,,,,,,,,
29,aluminumsandcastingsfoundry.com,"With satisfied customers all over North America, Mahoney Foundries supplies raw, fully machined, aluminum and brass castings for many applications. Since opening our doors in 1972, we've acquired a reputation for unrivalled service, quality, integrit...","07 JUN, 2023 10:17 UTC",26669,Published,United States,Primary Metal Manufacturing,,,,,,,,,,,,,,,,,
