,Company_Name,Date_of_leak,Company_URL_1,Data_Type,Company_URL,Industry_Type,Company_Address,Company_Country
0,AllCare Pharmacy,"Posted Oct 02, 2023.",https://www.allcarepharmacy.com/,Customer Database with SSN!,http://www.allcarepharmacy.ie,Retail,,
0,Dee Sign,"Posted Sep 01, 2023.",https://deesign.com/,Customer Database,https://www.deesign.com/,Real Estate,"West Chester, OH",United States
0,"Felling Trailers, Inc.","Posted Jul 13, 2023.",https://www.felling.com/,Unknown,https://www.felling.com,Truck Transportation,"Sauk Centre, MN",United States
0,Moore Engineering,"Posted Mar 31, 2023.",https://www.mooreengineeringinc.com/,Unknown,http://www.mooreengineeringinc.com/,Civil Engineering,"West Fargo, ND",United States
0,Intrasect Technologies,"Posted Mar 29, 2023.",https://www.intrasecttech.com/,Unknown,http://www.intrasect.com,IT Services and IT Consulting,"Wabash, Indiana",United States
0,NGS Super,"Posted Mar 25, 2023.",https://www.ngssuper.com.au/,Unknown,https://www.ngssuper.com.au,Financial Services,"Sydney, NSW",Australia
0,"Joy Cone Co, Joy Baking group, BoDeans Baking, Altesa","Posted Mar 11, 2023.",https://joycone.com/,Unknown,https://joycone.com/,Manufacturing,"Hermitage, PA",United States
0,"Tarolli, Sundheim, Covell & Tummino LLP","Posted Mar 14, 2023.",http://www.tarolli.com/,Unknown,http://www.tarolli.com,Legal Services,"Cleveland, Ohio",United States
0,Manning Building Supplies,"Posted Mar 13, 2023.",https://www.mbs-corp.com,Unknown,http://www.mbs-corp.com/,Construction,"Ocala, Florida",United States
0,Hopsteiner,"Posted Feb 10, 2023.",https://www.hopsteiner.com/,Unknown,http://Hopsteiner.com,Food and Beverage Services,"Yakima, WA",United States
0,AmerisourceBergen/Censora - MWI Animal Health,"Posted Jan 22, 2023.",https://www.amerisourcebergen.com/ https://www.mwiah.com/,unknown,http://www.mwiah.com,Veterinary Services,"Boise, ID",United States
