Unnamed: 0,Company_Name,Date_of_leak,Date_of_attack,Company_URL,Country1,NumViews,Industry_Type,Data_Type,Notes
0,Hughes Gill Cochrane Tinetti,publication date: 2023-10-14,added: 2023-10-10,www.hughes-gill.com," California, United States",👁️ views: 944,,"Private and personal confidential data, clients documents, contracts, HR, tax, finance information and etc",
0,Saltire Energy,publication date: 2023-10-14,added: 2023-10-10,www.saltire-energy.com,United Kingdom,👁️ views: 1089,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payrolls, tax, finance information and etc.",
0,Centek industries,publication date: 2023-10-13,added: 2023-10-09,www.centekindustries.com," Georgia, United States",👁️ views: 845,,"Private and personal confidential data, clients documents, contracts, IDs, passports, payroll, tax, finance information and etc.",
0,NachtExpress Austria GmbH,publication date: 2023-10-13,added: 2023-10-09,www.nox-nachtexpress.at," Lower Austria, Austria",👁️ views: 815,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payroll, tax, finance information and etc.",
0,WCM Europe,publication date: 2023-10-13,added: 2023-10-09,www.wcm.com," Essex, United Kingdom",👁️ views: 895,,"Private and personal confidential data, clients documents, contracts, HR, IDs, payroll, tax, finance information and etc. ",
0,Starr Finley,publication date: 2023-10-13,added: 2023-10-09,www.starrfinley.com,"  California, United States",👁️ views: 973,,"Private and personal confidential data, clients documents, contracts, HR, IDs, passports, payrolls , finance information and etc. ",
0,Metro Transit,publication date: 2023-10-12,added: 2023-10-09,www.metrostlouis.org," Missouri, United States",👁️ views: 916,,"Private and personal confidential data, clients documents, contracts, SSN, IDs, passports, payroll, tax, finance information and etc. ",
0,Stavanger Municipality,publication date: 2023-10-08,added: 2023-10-04,stavanger.kommune.no,Norway,👁️ views: 2056,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc. ",
0,CHARMANT Group,publication date: 2023-10-08,added: 2023-10-04,www.charmant.com," New Jersey, 07950, United States",👁️ views: 2014,,"Private and personal confidential data, clients and employee documents, IDs, invoices, contracts, finance information and etc. ",
0,Cinepolis USA,publication date: 2023-10-08,added: 2023-10-04,www.cinepolisusa.com," Texas, United States",👁️ views: 2085,,"Private and personal confidential data, clients and employee documents, IDs, clients db, finance information and etc. ",
0,Filtration Control,publication date: 2023-10-08,added: 2023-10-04,www.filtrationcontrol.com,United Kingdom,👁️ views: 2309,,"Private and personal confidential data, clients and employee documents, IDs, HR, payroll, contracts, finance information and etc.",
0,Security Instrument,publication date: 2023-10-08,added: 2023-10-04,www.securityinstrument.com,"  Delaware, United States",👁️ views: 2445,,"Private and personal confidential data, clients and employee documents, IDs, payroll, contracts, finance information and etc.",
0,Roof Management,publication date: 2023-10-08,added: 2023-10-04,www.roof-management.com," Ohio, United States",👁️ views: 2159,,"Private and personal confidential data, clients and employee documents, IDs, budget, passports, contracts, finance information and etc. ",
0,Wexas,publication date: 2023-10-02,added: 2023-09-28,www.wexas.com,United Kingdom,👁️ views: 3339,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc. ",
0,Plumbase,publication date: 2023-10-02,added: 2023-09-28,www.plumbase.co.uk,United Kingdom,👁️ views: 3423,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc. ",
0,Kessler Collins,publication date: 2023-10-02,added: 2023-09-28,www.kesslercollins.com," Texas, United States",👁️ views: 3277,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc. ",
0,Terralogic,publication date: 2023-10-02,added: 2023-09-28,www.terralogic.com," Virginia, United States",👁️ views: 3532,,"Private and personal confidential data, clients and employee documents, IDs, passports, tax, HR, finance information , also data from one of the major clients, the city of San Diego",Targetted: City of San diego
0,Van Eck Transport,publication date: 2023-10-02,added: 2023-09-28,www.vanecktransport.nl," Utrecht, Netherlands",👁️ views: 3346,,"Private and personal confidential data, clients and employee documents, IDs, passports, tax, HR, finance information and etc. ",
0,BAMO,publication date: 2023-10-02,added: 2023-09-28,www.bamo.com," California, United States",👁️ views: 3392,,"Private and personal confidential data, clients and employee documents, IDs, passports, projects, tax, HR, finance information and etc. ",
0,Amanzi Marble & Granite,publication date: 2023-10-02,added: 2023-09-28,www.amanzigranite.com," North Carolina, United States",👁️ views: 3263,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc.",
0,Webb Landscape,publication date: 2023-10-05,added: 2023-09-28,www.webbland.com," Idaho, United States",👁️ views: 3169,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, finance information and etc. ",
0,Robuck Homes,publication date: 2023-10-02,added: 2023-09-28,www.robuckhomes.com," North Carolina, United States",👁️ views: 3215,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, conracts, finance information and etc.",Generationality owned business
0,Jacobson,publication date: 2023-10-02,added: 2023-09-28,www.jacobsoncompany.com," New Jersey, United States",👁️ views: 3270,,"Private and personal confidential data, clients and employee documents, IDs, tax, HR, contracts, finance information and etc.",
0,PASCHAL - Werk G Maier,publication date: 2023-09-22,added: 2023-09-18,www.paschal.de,Germany,👁️ views: 5350,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc.",
0,TSC,publication date: 2023-09-22,added: 2023-09-18,www.t-s-c.com," Texas, United States",👁️ views: 5395,,"Private and personal confidential data, clients and employee documents, contracts, IDs, projects, finance information and etc.","Why did they steal projects? Were they confidential?
They are merely a drilling contractor"
0,Rea Magnet Wire,publication date: 2023-09-26,added: 2023-09-18,www.reawire.com," Indiana, United States",👁️ views: 5336,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc.",
0,First Line,publication date: 2023-09-22,added: 2023-09-18,www.firstline.co.uk," Oxfordshire, United Kingdom",👁️ views: 5388,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc. ",
0,Vucke,publication date: 2023-09-22,added: 2023-09-18,www.vucke.sk,Slovakia,👁️ views: 5161,,"Private and personal confidential data, employee documents, IDs, passports, HR, finance information and etc. ","Country is Slovakia
Thats an interesting country"
0,Carpet One,publication date: 2023-09-18,added: 2023-09-13,www.stradwickscarpetonenorthbay.com," Ontario, Canada",👁️ views: 6437,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc. ",
0,Dpc & S,publication date: 2023-09-18,added: 2023-09-13,www.dpconsulting.com," Arizona, United States",👁️ views: 6430,,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, projects, finance information and etc.  ",They stole projects from a Non Profit Organization
0,Majestic Spice,publication date: 2023-09-08,added: 2023-09-05,www.majesticspice.com," California, United States",👁️ views: 7887,,"Private and personal confidential data, clients and employee documents, finance information and etc.",
0,Bordelon Marine,publication date: 2023-09-08,added: 2023-09-05,www.bordelonmarine.com," Louisiana, United States",👁️ views: 7898,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc. ",
0,Master Interiors,publication date: 2023-09-08,added: 2023-09-05,www.masterinteriors.com," Delaware, United States",👁️ views: 7947,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc.",
0,Markentrainer Werbeagentur,publication date: 2023-09-09,added: 2023-09-05,www.micro-automation.de,Germany,👁️ views: 7863,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, a lot of technical documentation, finance information and etc.  ",Technical documentation were stolen
0,Kikkerland Design,publication date: 2023-09-09,added: 2023-09-05,www.kikkerland.com," New York, United States",👁️ views: 7853,,"Private and personal confidential data, clients and employee documents, IDs, taxes, finance information and etc.",
0,Firmdale Hotels,publication date: 2023-09-05,added: 2023-09-01,www.firmdalehotels.com," London, United Kingdom",👁️ views: 8653,,"Private and personal confidential data, clients and employee documents, contracts, IDs, passports, clients scans, HR, finance information and etc. ",What are client scans?
0,"Alfagomma, Argus Fluidhandling Ltd",publication date: 2023-08-26,added: 2023-08-22,www.alfagomma.com www.hiflex-europe.com," Iowa, United States",👁️ views: 10893,,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, finance information a lot of technical documentation and etc. For now partially published compressed 10gb. If there no reaction full dump will be uploaded.",technical documentation
0,Oneonline,publication date: 2023-08-24,added: 2023-08-18,www.oneonline.com," Utah, United States",👁️ views: 11651,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.",
0,Legends Limousine,publication date: 2023-08-24,added: 2023-08-18,www.legendslimousine.com," New York, United States",👁️ views: 11692,,"Private and personal confidential data, clients and employee documents, clients db, passports, IDs, finance, taxes and etc.    ",
0,Bolton Group,publication date: 2023-08-24,added: 2023-08-18,www.boltongroup.net,Italy,👁️ views: 11658,,"Private and personal confidential data, clients and employee documents, passports, IDs, finance, taxes and etc. ",
0,Stanford Transportation Inc,publication date: 2023-08-24,added: 2023-08-18,www.driveforstanford.com,USA,👁️ views: 11740,,"Private and personal confidential data, clients and employee documents, HR, SSN, clients db, IDs, finance, taxes and etc. ",Clients Database and documents
0,BTC Power,publication date: 2023-08-24,added: 2023-08-18,www.btcpower.com," California, United States",👁️ views: 11574,,"Private and personal confidential data, clients and employee documents, payroll, clients db, IDs, finance information and etc. ",Clients Database and documents in a company that manufacturs EV charging systems 
0,Miami Management,publication date: 2023-08-24,added: 2023-08-18,www.miamimanagement.com," Florida, United States",👁️ views: 11446,,"Private and personal confidential data, clients and employee documents, payroll, budget, contracts, IDs, finance information and etc.     ",
0,DSA Law Pty Ltd,publication date: 2023-08-24,added: 2023-08-18,www.dsalaw.com.au,Victoria Australia,👁️ views: 11766,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc.     ",
0,ABS Auto Auctions,publication date: 2023-08-30,added: 2023-08-18,www.absautoauctions.com," California, United States",👁️ views: 11551,,"Private and personal confidential data, clients and employee documents, contracts, finance information and etc.     ",
0,EAI,publication date: 2023-08-14,added: 2023-08-10,www.eaiweb.com,USA,👁️ views: 12890,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.    ",
0,Algorry Zappia & Associates,publication date: 2023-08-16,added: 2023-08-10,www.algorryzappia.com.au," New South Wales, Australia",👁️ views: 12888,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.     ",
0,Top Light,publication date: 2023-08-14,added: 2023-08-10,www.top-light.de,"  Nordrhein Westfalen, Germany",👁️ views: 12809,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.     ",
0,"Birch, Horton, Bittner & Cherot",publication date: 2023-08-06,added: 2023-08-01,www.birchhorton.com,"  Alaska, United States",👁️ views: 14764,,"Private and personal confidential data, clients and employee documents,scans, IDs, contacts, finance and etc.     ",
0,Aapd,publication date: 2023-08-06,added: 2023-08-01,www.aapd.com.au,Australia,👁️ views: 14822,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax and etc.     ",
0,"Garage Living, The Dispenser USA",publication date: 2023-08-06,added: 2023-08-01," www.garageliving.com, www.dispenser.com"," Ontario, Canada",👁️ views: 14821,,"Private and personal confidential data, clients and employee documents, finance, tax and etc.     ",
0,Xplain,publication date: 2023-08-05,added: 2023-07-29,www.xplain.ch,Switzerland,👁️ views: 36993,,"Private and personal confidential data, finance, taxes, clients private and important government information.    ","important government information.

Company info:
Xplain is a leading manufacturer of standard software solutions for all areas and areas of application within the so-called area of « Homeland Security »."
0,Grupo MH,publication date: 2023-07-29,added: 2023-07-24,www.grupmh.com," Barcelona, Spain",👁️ views: 16431,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax, and etc.    ",
0,Primoteq,publication date: 2023-07-29,added: 2023-07-24,www.primoteq.com," Overijssel, Netherlands",👁️ views: 16527,,"Private and personal confidential data, clients and employee documents, projects, contracs, finance, tax, and etc.     ",
0,Scharco Elektronik,publication date: 2023-07-29,added: 2023-07-24,www.scharco.eu," Nordrhein-Westfalen, Germany",👁️ views: 16454,,"Private and personal confidential data, clients and employee documents, passports, IDs, scans, contracs, finance, tax, and etc.     ",
0,John Mulder Heating & Air Conditioning,publication date: 2023-07-29,added: 2023-07-24,www.johnmulderheating.ca," British Columbia, Canada",👁️ views: 16581,,"Private and personal confidential data, clients and employee documents, HR, IDs, scans, contracs, finance, tax and etc.     ",
0,Centennial Management,publication date: 2023-07-25,added: 2023-07-19,www.centennialinvestments.com,"  Florida, United States",👁️ views: 17501,,"Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, finance and etc.     ",
0,Sea Force IX,publication date: 2023-07-25,added: 2023-07-19,www.seaforceboats.com," Florida, United States",👁️ views: 17271,,"Private and personal confidential data, clients and employee documents, tax, finance and etc.     ",
0,Woodbine Hospitality,publication date: 2023-07-25,added: 2023-07-19,www.woodbinehospitality.com," New York, United States",👁️ views: 17300,,"Private and personal confidential data, clients and employee documents, tax, finance, projects, IDs, and etc.    ",projects
0,ECS Technology Group,publication date: 2023-07-25,added: 2023-07-19,www.ecstechgroup.com," Texas, United States",👁️ views: 17329,,"Private and personal confidential data, clients and employee documents, passports, clients db, tax, finance and etc.     ",Clients Database and Documents
0,Fernmoor Homes,publication date: 2023-07-25,added: 2023-07-19,www.fernmoorhomes.com," New Jersey, United States",👁️ views: 17257,,"Private and personal confidential data, clients and employee documents, passports, contracs, payroll, tax, clients full info, finance and etc.     ",
0,Kensington Publishing,publication date: 2023-07-25,added: 2023-07-19,www.kensingtonbooks.com," New York, United States",👁️ views: 17358,,"Private and personal confidential data, clients and employee documents, passports, scans, sql db, contracs, press releases, finance and etc.     ",Press releases?
0,Texas Heat Treating,publication date: 2023-07-15,added: 2023-07-11,www.texasheattreating.com,"  Texas, United States",👁️ views: 19062,,"Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, lab, a lot of technical documentation and etc. ","lab, and technical documentations"
0,Lawer SpA,publication date: 2023-07-13,added: 2023-07-07,www.lawer.com," Piedmont, Italy",👁️ views: 20136,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.    ",
0,Indiana Dimension,publication date: 2023-07-13,added: 2023-07-07,www.indianadimension.com," Indiana, United States",👁️ views: 20113,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.    ",
0,Star Island Resort,publication date: 2023-07-13,added: 2023-07-07,www.star-island.com," Florida, United States",👁️ views: 19992,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.    ",
0,Lazer Tow,publication date: 2023-07-13,added: 2023-07-07,www.lazertow.com," Missouri, United States",👁️ views: 20057,,"Private and personal confidential data, clients and employee documents, clients base, passports, contracts, finance and etc.    ",
0,Intoximeters,publication date: 2023-07-11,added: 2023-07-07,www.intox.com," Missouri, United States",👁️ views: 19743,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.    ",
0,Safety Network,publication date: 2023-07-12,added: 2023-07-06,www.safetynetworkinc.com," California, United States",👁️ views: 19898,,"Private and personal confidential data, clients and employee documents, contracts, finance, and etc.    ",
0,Capacity LLC,publication date: 2023-07-12,added: 2023-07-06,www.capacityllc.com," New Jersey, United States",👁️ views: 19915,,"Private and personal confidential data, clients and employee documents, passports, IDs, contracts, tax, and etc.    ",
0,Betty Lou's,publication date: 2023-07-12,added: 2023-07-06,www.bettylousinc.com," Oregon, United States",👁️ views: 20113,,"Private and personal confidential data, clients and employee documents, passports, contracts, and etc.    ",
0,MUJI Europe Holdings Limited,publication date: 2023-07-12,added: 2023-07-06,www.muji.eu," London, England",👁️ views: 20045,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.     ",connection refused: date 14 Oct
0,Geneva Software,publication date: 2023-07-12,added: 2023-07-06,www.genevasi.com," Virginia, United States",👁️ views: 19803,,"Private and personal confidential data, clients and employee documents, contracts, taxes, finance and etc.    ",
0,Uniquify,publication date: 2023-07-12,added: 2023-07-06,www.uniquify.com," California, United States",👁️ views: 20743,,"Private and personal confidential data, clients and employee documents, a lot of technical documentation, contracts and etc.    ",Technical documentation
0,NST Attorneys at Law,publication date: 2023-07-12,added: 2023-07-06,www.nstlaw.com," Tennessee, United States",👁️ views: 19972,,"Private and personal confidential data, clients and employee documents, passports, IDs, SSNs, insurance, contracts, lawsuits and etc.    ","Insurance, lawsuits at a Law firm"
0,Cambridge Group of Clubs,publication date: 2023-07-03,added: 2023-06-27,www.cambridgegroupofclubs.com," Ontario, Canada",👁️ views: 21641,,"Private and personal confidential data, clients and employee documents, finance, passports, clients db, IDs, taxes, finance information and etc.    ",
0,Algotech,publication date: 2023-07-03,added: 2023-06-27,www.algotech.cz," Praha, Czech Republic",👁️ views: 21636,,"Private and personal confidential data, clients and employee documents.    ",Czech Republic 
0,Wolfs Block Management Limited,publication date: 2023-06-27,added: 2023-06-21,www.wolfsproperty.co.uk,United Kingdom,👁️ views: 23086,,"Private and personal confidential data, clients and employee documents, passports, contracts, and etc.    ",
0,Lorclon,publication date: 2023-06-27,added: 2023-06-21,www.lorclon.com,United Kingdom,👁️ views: 23147,,"Private and personal confidential data, clients and employee documents, passports, contracts, taxes, commercial information and etc.    ",commercial information
0,Allpro Consulting Group,publication date: 2023-06-27,added: 2023-06-21,www.allprocgi.com," Texas, United States",👁️ views: 23083,,"Private and personal confidential data, clients and employee documents, passports, contracts, scans, taxes and etc.    ",
0,Luís Simoes,publication date: 2023-06-27,added: 2023-06-21,www.luis-simoes.com,Portugal,👁️ views: 23134,,"Private and personal confidential data, clients and employee documents, passports, contracts, logistic, taxes and etc.    ",logistics
0,Federation Francaise de Rugby,publication date: 2023-06-27,added: 2023-06-21,www.ffr.fr,France,👁️ views: 23153,,"Private and personal confidential data, clients and employee documents, passports, hr and etc.    ",
0,PWI Engineering,publication date: 2023-06-27,added: 2023-06-21,www.pwius.com," New Jersey, United States",👁️ views: 23125,,"Private and personal confidential data, clients and employee documents, projects, passports, finance and etc.    ",projects
0,OMNIPOL,publication date: 2023-06-27,added: 2023-06-21,www.omnipol.com,Czech Republic,👁️ views: 23279,,"Private and personal confidential data, clients and employee documents, passports, finance, project, secret informaion and etc.    ",secret infromation from a defence and security solutions industry 
0,Summit Hut,publication date: 2023-06-27,added: 2023-06-21,www.summithut.com," Arizona, United States",👁️ views: 23104,,"Private and personal confidential data, clients and employee documents, passports, finance and etc.    ",
0,Dancie Perugini Ware Public Relations,publication date: 2023-06-27,added: 2023-06-21,www.dpwpr.com," Texas, United States",👁️ views: 22964,,"Private and personal confidential data, clients and employee documents, passports, finance, tax and etc.     ",
0,Peter Mark,publication date: 2023-06-27,added: 2023-06-21,www.petermark.ie," Leinster, Ireland",👁️ views: 23081,,"Private and personal confidential data, clients and employee documents, passports, cliens base, hr, finance, tax and etc.    ",
0,Twai,publication date: 2023-06-27,added: 2023-06-21,www.twai.com,"  Michigan, United States",👁️ views: 23214,,"Private and personal confidential data, clients and employee documents, passports, tax and etc.     ",
0,Pacte Novation,publication date: 2023-06-27,added: 2023-06-21,www.pactenovation.fr,France,👁️ views: 23298,,"Private and personal confidential data, clients and employee documents, passports, projects, fincane, tax and etc.     ",projects from a software engineering company in france
0,Dameron Alloy Foundries,publication date: 2023-06-28,added: 2023-06-21,www.dameron.net," California, United States",👁️ views: 22861,,"Private and personal confidential data, clients and employee documents, passports, projects, ssn, IDs, finance, tax and etc.   ","projects 
Description:
metal parts 
15 years of asia manufacturing experience"
0,Mesa Cold Storage,publication date: 2023-06-27,added: 2023-06-21,www.mesacold.com," Arizona, United States",👁️ views: 23029,,"Private and personal confidential data, clients and employee documents, passports, finance, tax and etc.    ",
0,Salins Group,publication date: 2023-06-27,added: 2023-06-21,www.salins.com," Clichy, France",👁️ views: 22959,,"Private and personal confidential data, clients and employee documents, hr, passports, finance and etc.     ",
0,Novasoft,publication date: 2023-06-27,added: 2023-06-21,www.novasoft.at,Austria,👁️ views: 25030,,"Private and personal confidential data, clients and employee documents, projects and etc.     ",projects
0,Nubus,publication date: 2023-06-27,added: 2023-06-21,www.nubus.be," Flanders, Belgium",👁️ views: 22956,,"Private and personal confidential data, clients and employee documents, finance, technical documentation and etc.     ",technical documents from a Information Technology and Services Industry
0,Shows & Artists,publication date: 2023-06-11,added: 2023-06-02,www.shows-artists.com,Germany,👁️ views: 27295,,"Private and personal confidential data, clients and employee documents, finance, hr and etc.     ",
0,NORANET - CZ,publication date: 2023-06-11,added: 2023-06-02,www.noranet.cz,Czech Republic,👁️ views: 27286,,"Private and personal confidential data, clients and employee documents, contracts and etc.    ",
0,Abeko,publication date: 2023-06-11,added: 2023-06-02,www.abeko.nl,Netherlands,👁️ views: 27207,,"Private and personal confidential data, clients and employee documents, contracts, hr and etc.     ",
0,Buffalo Niagara Association,publication date: 2023-06-11,added: 2023-06-02,www.bnar.org,United States,👁️ views: 27228,,"Private and personal confidential data, clients and employee documents, IDs, contracts, and etc.    ",
0,BMD Systemhaus,publication date: 2023-06-11,added: 2023-06-02,www.bmd.com,Austria,👁️ views: 29549,,"Private and personal confidential data, clients and employee documents, IDs, passports, bank reports, taxes, contracts, and etc.     ",bank reports
